,STR,LYM,DEB,NORM
"748246_1C,1D",0.20414746543778806,0.27164519592055825,0.35714285714285715,0.4626032823995474
"748742_2B,2C",0.4060290404040406,0.3,0.05056962025316462,0.12
749566_S2B,0.09270055693802583,0.06493506493506493,0.7009278350515463,0.015600961538461532
749667_5J,0.29,0.2,0.3926640926640928,0.17978947368421072
749885_A,0.3125,0.2653061224489796,0.35024652622142527,0.27171717171717147
752970_1C,0.3873601053324556,0.1301739130434783,0.28125,0.0
753138_4B,0.4837020734391289,0.1919191919191919,0.10287741426882138,0.7
753520_1G,0.3537247474747476,0.44025806451612914,0.06,0.1754285714285726
753598_B,0.236512027491409,0.11349578256794754,0.313179992698065,0.031578947368421054
753834_9B,0.53,0.23232323232323232,0.010101010101010102,0.26410984848484864
754206_13,0.20180023228803715,0.0,0.27087912087912086,0.6175133689839571
754310_7C,0.5,0.34346590909090907,0.09119318181818184,0.27217105263157904
754972_B,0.3133931073129729,0.14285714285714285,0.4491836734693878,0.16238279095421956
755375_3B,0.5030303030303032,0.38,0.11530701754385968,0.29
757568_D,0.39,0.12650233177881415,0.4599310344827586,0.09288435374149667
760098_9D,0.3333333333333333,0.05154639175257732,0.22,0.01098901098901099
762106_7B,0.11762523191094615,0.35030927835051545,0.37749494949494944,0.31187878787878787
764430_7B,0.5656565656565656,0.269020618556701,0.19,0.13
765407_H,0.5758607198748045,0.16666666666666666,0.059764705882352956,0.04043243243243244
765680_7C,0.7599343185550083,0.498989898989899,0.15555555555555553,0.18083780880773362
767626_1F,0.4270833333333333,0.13402061855670103,0.17346938775510204,0.13
767867_A,0.3070354609929083,0.15,0.1875,0.3780408163265313
768370_7B,0.37910726182544974,0.04219484882418815,0.2676927544649339,0.4719882179675995
"768610_7B,7C",0.34,0.16462585034013635,0.40082474226804143,0.2727272727272727
"769150_8C,8D",0.25814896328043546,0.14,0.2727272727272727,0.48342602892102327
"769151_8B,8C",0.3298640052643123,0.2,0.5520833333333334,0.13131313131313133
"769292_12A,12B",0.6,0.22448979591836735,0.13948936170212775,0.436050156739812
"769293_1A,1B",0.44329896907216493,0.08041379310344832,0.42105263157894735,0.40425531914893614
"769404_8B,9",0.46499999999999997,0.19491792929292928,0.17432188065099458,0.49169851887243193
771609_7G,0.09542427497314716,0.11366272824919442,0.18285714285714288,0.5873684210526315
"771986_A,B",0.27565095003518647,0.06,0.48,0.38144329896907214
"772291_7B,7C",0.2910852713178296,0.041666666666666664,0.494949494949495,0.021505376344086023
772517_2A,0.4285714285714285,0.16930985915492963,0.20408163265306123,0.14629385964912292
772529_1A,0.46371717171717153,0.25,0.43975510204081625,0.20879120879120883
772734_2B,0.5090496453900709,0.26192358366271407,0.0859767299448867,0.1354264292408622
773502_5C,0.35800000000000065,0.2248669032830524,0.2122323232323234,0.6639387755102041
773580_3B,0.3939393939393939,0.12121212121212122,0.2909208362696738,0.010214601304439316
774990_2A,0.5,0.3835804857081453,0.31219191919191935,0.12572533849129625
775603_1B,0.69,0.22,0.21739130434782608,0.11
775663_2A,0.27134146341463417,0.10820578231292517,0.02357320099255583,0.6851713859910581
776614_2B,0.375,0.21558136500065272,0.30927835051546393,0.08214285714285745
777303_3D,0.5208333333333334,0.09100185528756949,0.07954545454545454,0.22235294117647045
779162_2E,0.24489795918367346,0.1322699863839718,0.43885400313971734,0.1
"781978_8B,8C",0.5993814432989691,0.1111111111111111,0.3854166666666667,0.08222175468125398
